Unnamed: 0,id_x,gender,masterCategory,subCategory,articleType,baseColour,season,year,usage,productDisplayName,id_y,Emotion_Category
0,15970,Men,Apparel,Topwear,Shirts,Navy Blue,Rainy,2011.0,Casual,Turtle Check Men Navy Blue Shirt,37.0,Neutral
1,39386,Men,Apparel,Bottomwear,Jeans,Blue,Sunny,2012.0,Casual,Peter England Men Party Blue Jeans,13.0,Contentment
3,21379,Men,Apparel,Bottomwear,Track Pants,Black,Rainy,2011.0,Casual,Manchester United Men Solid Black Track Pants,20.0,Anger
4,53759,Men,Apparel,Topwear,Tshirts,Grey,Sunny,2012.0,Casual,Puma Men Grey T-shirt,28.0,Sadness
5,1855,Men,Apparel,Topwear,Tshirts,Grey,Sunny,2011.0,Casual,Inkfruit Mens Chain Reaction T-shirt,28.0,Sadness
6,30805,Men,Apparel,Topwear,Shirts,Green,Sunny,2012.0,Ethnic,Fabindia Men Striped Green Shirt,12.0,Contentment
7,26960,Women,Apparel,Topwear,Shirts,Purple,Sunny,2012.0,Casual,Jealous 21 Women Purple Shirt,26.0,Sadness
10,9204,Men,Footwear,Shoes,Casual Shoes,Black,Sunny,2011.0,Casual,Puma Men Future Cat Remix SF Black Casual Shoes,20.0,Anger
12,18653,Men,Footwear,Flip Flops,Flip Flops,Black,Rainy,2011.0,Casual,Fila Men Cush Flex Black Slippers,20.0,Anger
14,46885,Men,Footwear,Flip Flops,Flip Flops,Navy Blue,Rainy,2012.0,Casual,Ben 10 Boys Navy Blue Slippers,37.0,Neutral
15,12369,Men,Apparel,Topwear,Shirts,Purple,Rainy,2011.0,Formal,Reid & Taylor Men Check Purple Shirts,26.0,Sadness
17,42419,Women,Apparel,Topwear,Tops,White,Sunny,2012.0,Casual,Gini and Jony Girls Knit White Top,4.0,Joy
21,12967,Men,Footwear,Sandal,Sandals,Black,Rainy,2011.0,Casual,ADIDAS Men Spry M Black Sandals,20.0,Anger
23,13089,Men,Apparel,Topwear,Sweatshirts,Grey,Rainy,2011.0,Sports,ADIDAS Men Lfc Auth Hood Grey Sweatshirts,28.0,Sadness
25,9036,Men,Footwear,Shoes,Formal Shoes,Black,Rainy,2011.0,Formal,Buckaroo Men Flores Black Formal Shoes,20.0,Anger
27,7990,Men,Apparel,Topwear,Tshirts,Navy Blue,Rainy,2011.0,Sports,Fila Men's Round Neck Navy Blue T-shirt,37.0,Neutral
30,37812,Men,Apparel,Topwear,Shirts,Navy Blue,Sunny,2012.0,Formal,John Players Men Navy Blue Shirt,37.0,Neutral
31,4729,Men,Apparel,Topwear,Tshirts,Green,Sunny,2011.0,Casual,Disney Kids Boy's Crew Sea Life Sialing Green Teen Kidswear,12.0,Contentment
32,56825,Men,Apparel,Topwear,Shirts,Brown,Sunny,2012.0,Casual,John Players Men Brown Shirt,27.0,Sadness
33,39988,Men,Footwear,Shoes,Casual Shoes,White,Rainy,2014.0,Casual,Gas Men Europa White Shoes,4.0,Joy
